International Journal of Strategic Management : IJSM : A Publication of the International Academy of Business and Economics International Journal of Tourism Research,D
International Journal of Sustainable Strategic Management,C
International Journal of Technology and Globalisation,D
International Journal of Technology Assessment in Health Care,B
International Journal of Technology Intelligence and Planning,D
International Journal of Technology Management,C
International Journal of Technology Management and Sustainable Development,D
International Journal of Technology Marketing,D
International Journal of Technology Transfer and Commercialisation,D
International Journal of Wine Business Research,D
International Labour Review,B
International Marketing Review,B
International Public Management Journal,B
International Public Management Review,C
International Review of Administrative Sciences,B
International Review of Economics and Finance,C
International Review of Entrepreneurship,D
International Review of Finance,C
International Review of Financial Analysis,B
International Review of Law and Economics,B
international Review of Management Studies) Baltic Journal of Management,C
international Review of Management Studies) Harvard Business Review,B
International Review of Public Administration,C
International Review of Retail, Distribution and Consumer Research,C
International Review on Public and Nonprofit Marketing,C
International Small Business Journal,B
International Studies of Management and Organization,C
International Tax and Public Finance,B
International Transactions in Operational Research,B
Internet Research,B
it - Information Technology (früher: it+ti - Informationstechnik und Technische Informatik)|it - Information Technology,D
Jahrbücher für Nationalökonomie und Statistik: Journal of Economics and Statistics|Jahrbücher für Nationalökonomie und Statistik,B
JORS. Journal of the Operational Research Society,B
Journal of Academy of Business and Economics,C
Journal of Accounting & Organizational Change,C
Journal of Accounting and Economics,A+
Journal of Accounting and Public Policy,B
Journal of Accounting Research,A+
Journal of Accounting, Auditing & Finance,B
Journal of Advertising,B
Journal of Advertising Research,B
Journal of Air Transport Management,B
Journal of Alternative Investments,B
Journal of Applied Business Research,D
Journal of Applied Corporate Finance,B
Journal of Applied Psychology,A+
Journal of Applied Social Psychology,B
Journal of Asset Management,B
Journal of Banking & Finance,A
Journal of Behavioral and Experimental Economics,B
Journal of Behavioral Decision Making,B
Journal of Behavioral Finance,B
Journal of Behavioral Public Administration,B
Journal of Brand Management,C
Journal of Business,A
Journal of Business & Industrial Marketing,C
Journal of Business Analytics,C
Journal of Business and Psychology,B
Journal of Business Economics,B
Journal of Business Economics and Management,D
Journal of Business Ethics,A
Journal of Business Finance & Accounting,B
Journal of Business Logistics,A
Journal of Business Models,C
Journal of Business Research,A
Journal of Business Strategy,C
Journal of Business Valuation and Economic Loss Analysis,C
Journal of Business Venturing,A
Journal of Business Venturing Design,B
Journal of Business Venturing Insights,B
Journal of Business-to-Business Marketing,C
Journal of Change Management,C
Journal of Cleaner Production,B
Journal of Commodity Markets,B
Journal of Competences, Strategy & Management,C
Journal of Computational Finance,B
Journal of Computer-Mediated Communication,C
Journal of Consumer Affairs,C
Journal of Consumer Behaviour,B
Journal of Consumer Marketing,C
Journal of Consumer Policy,C
Journal of Consumer Psychology,A
Journal of Consumer Research,A+
Journal of Corporate Accounting and Finance,C
Journal of Corporate Finance,A
Journal of Credit Risk,B
Journal of Cross-Cultural Psychology,B
Journal of Cultural Economics,B
Journal of Customer Behaviour,C
Journal of Decision Systems,B
Journal of Derivatives,B
Journal of Destination Marketing & Management,D
Journal of Developmental Entrepreneurship,D
Journal of Digital Economy,D
Journal of East European Management Studies,C
Journal of Econometrics,A
Journal of Economic Behavior & Organization,A
Journal of Economic Dynamics & Control,A
Journal of Economic Literature,A
Journal of Economic Perspectives,A
Journal of Economic Psychology,B
Journal of Economic Theory,A
Journal of Economics and Finance,C
Journal of Economics and Management Strategy,B
Journal of Electronic Commerce in Organizations,C
Journal of Electronic Commerce Research,C
Journal of Empirical Finance,B
Journal of Engineering and Technology Management,C
Journal of Enterprise Information Management,C
Journal of Enterprising Communities,D
Journal of Enterprising Communities: People and Places in the Global Economy,C
Journal of Enterprising Culture,C
Journal of Entrepreneurial Finance,C
Journal of Entrepreneurship,B
Journal of Entrepreneurship and Innovation in Emerging Economies,C
Journal of Entrepreneurship and Public Policy,C
Journal of Entrepreneurship Education,C
Journal of Entrepreneurship in Emerging Economies,D
Journal of Entrepreneurship Management and Innovation: JEMI|Journal of Entrepreneurship Management and Innovation,D
Journal of Environmental Economics and Management,B
Journal of Environmental Management,B
Journal of Environmental Planning and Management,B
Journal of European Public Policy,A
Journal of European Social Policy,B
Journal of Evolutionary Economics,C
Journal of Experimental Social Psychology,A
Journal of Family Business Management,C
Journal of Family Business Strategy,B
Journal of Financial and Quantitative Analysis (JFQA)|Journal of Financial and Quantitative Analysis,A
Journal of Financial Econometrics,B
Journal of Financial Economic Policy,D
Journal of Financial Economics,A+
Journal of Financial Intermediation,A
Journal of Financial Markets,B
Journal of Financial Research,B
Journal of Financial Services Marketing,C
Journal of Financial Services Research,B
Journal of Financial Stability,A
Journal of Fixed Income,B
Journal of Forecasting,B
Journal of Futures Markets,B
Journal of General Management,C
Journal of Global Entrepreneurship Research,C
Journal of Global Marketing,C
Journal of Global Mobility,C
Journal of Global Responsibility,C
Journal of Health Economics,A+
Journal of Health Organization and Management,C
Journal of Health Services Research & Policy,B
Journal of Healthcare Management,C
Journal of Heuristics,B
Journal of High Technology Management Research,C
Journal of Human Resources,B
Journal of Industrial Ecology,A
Journal of Industrial Economics,B
Journal of Industrial Relations,B
Journal of Information Systems,C
Journal of Information Systems Education,C
Journal of Information Technology,A
Journal of Information Technology Teaching Cases,C
Journal of Informetrics,C
Journal of Innovation and Entrepreneurship,C
Journal of Innovation and Knowledge,C
Journal of Innovation Economics & Management,C
Journal of Institutional and Theoretical Economics (JITE)|Journal of Institutional and Theoretical Economics,B
Journal of Insurance Issues,C
Journal of Intellectual Capital,C
Journal of intelligent manufacturing,C
Journal of Interactive Advertising,C
Journal of Interactive Marketing,B
Journal of International Accounting Auditing and Taxation,B
Journal of International Business Policy,B
Journal of International Business Studies,A
Journal of International Economics,A
Journal of International Entrepreneurship,C
Journal of International Financial Markets, Institutions and Money,B
Journal of International Management,B
Journal of International Marketing,B
Journal of International Money and Finance,B
Journal of Investing,C
Journal of Knowledge Management,C
Journal of Labor Economics,A
Journal of Law & Economics,A
Journal of Law, Economics and Organization,B
Journal of Law, Finance, and Accounting,C
Journal of Leadership & Organizational Studies,B
Journal of Leadership Studies,C
Journal of Macromarketing,C
Journal of Management,A
Journal of Management & Organization,B
Journal of Management Accounting Research,B
Journal of Management and Governance,C
Journal of Management Control,C
Journal of Management Education,C
Journal of Management Information Systems|JMIS|J Manag Inf Syst,A
Journal of Management Inquiry,B
Journal of Management Studies,A
Journal of Managerial Psychology,B
Journal of Manufacturing Systems,C
Journal of Manufacturing Technology Management,C
Journal of Marketing,A+
Journal of Marketing Analytics,C
Journal of Marketing Education,C
Journal of Marketing Management,C
Journal of Marketing Research,A+
Journal of Marketing Theory and Practice,B
Journal of Medical Internet Research,B
Journal of Monetary Economics,A
Journal of Money, Credit and Banking (JMCB)|Journal of Money, Credit and Banking,A
Journal of Multi-Criteria Decision Analysis,B
Journal of Nonprofit & Public Sector Marketing,C
Journal of Occupational and Organizational Psychology,B
Journal of Occupational Health Psychology,B
Journal of Open Innovation: Technology, Market and Complexity|Journal of Open Innovation,C
Journal of Operations Management,A
Journal of Organization Design,B
Journal of Organizational Behavior,A
Journal of Organizational Behavior Management,B
Journal of Organizational Change Management,B
Journal of Organizational Computing and Electronic Commerce,C
Journal of Organizational Sociology,B
Journal of Pension Economics and Finance,C
Journal of Personal Selling & Sales Management,B
Journal of Personality and Social Psychology,A+
Journal of Personnel Psychology,B
Journal of Philanthropy and Marketing,C
Journal of Policy Analysis and Management,B
Journal of Political Economy,A+
Journal of Product & Brand Management,C
Journal of Product Innovation Management,A
Journal of productivity analysis,C
Journal of Professions and Organization,B
Journal of Property Investment and Finance,D
Journal of Public Administration Research and Theory,A
Journal of Public Economic Theory,B
Journal of Public Economics,A
Journal of Public Policy & Marketing,B
Journal of Purchasing & Supply Management,B
Journal of Real Estate Portfolio Management,C
Journal of Real Estate Research (JRER)|Journal of Real Estate Research,C
Journal of Relationship Marketing,C
Journal of Research in Marketing and Entrepreneurship,C
Journal of Retailing,A
Journal of Retailing and Consumer Services,B
Journal of Revenue and Pricing Management,C
Journal of Risk,B
Journal of Risk and Insurance,A
Journal of Risk and Uncertainty,B
Journal of Risk Finance,B
Journal of Scheduling,A
Journal of Science and Technology Policy Management,D
Journal of Service Management,B
Journal of Service Management Research,C
Journal of Service Research,A
Journal of Service Theory and Practice,C
Journal of Services Marketing,C
Journal of Small Business & Entrepreneurship,C
Journal of Small Business and Enterprise Development,C
Journal of Small Business Management,B
Journal of Small Business Strategy,C
